,params_Q,params_em,params_length,params_pos,params_spread,params_lacc,energy,spread,emittance,charge,fit_obj,
34,111.8483686,2.484221768,66.43944193,5.85532781,0.319764148,10,3437.585196,12.15913292,4.17559686,111.706362,7.563280549,7.563280549
35,132.7927324,5.671806188,49.01631012,6.588494656,0.234250258,10,4156.572732,12.74945543,9.134014159,58.416326,2.085049204,2.085049204
36,140.9034467,6.371624414,54.60482607,6.336211618,0.142674187,10,3917.149028,9.532552425,12.51865439,138.8829915,4.558818534,4.558818534
37,100.8595235,6.162631203,119.3542251,6.391263274,0.11941303,10,3726.930568,21.16441761,12.38484911,97.66224799,1.388612199,1.388612199
38,108.5916857,2.26120995,40.10945858,5.899783212,0.462209124,10,3580.04014,3.450925465,3.951501391,109.0506662,28.62981229,28.62981229
39,140.9919814,5.781780587,78.12685045,6.356034633,0.46671087,10,3803.712466,12.73390696,10.66772117,140.187016,3.925383961,3.925383961
40,139.4615261,3.428385006,74.98961224,6.788837085,0.249083336,10,3433.246597,30.91376309,8.202223228,114.3640996,1.548500159,1.548500159
41,122.3368306,7.81523105,81.65660759,6.026530546,0.148910528,10,3655.765044,11.80470043,13.32028382,122.1746952,2.840475782,2.840475782
42,106.9029161,6.026366337,73.182086,6.044777549,0.456680026,10,3772.166814,9.490415966,10.2783817,107.0902938,4.141245819,4.141245819
43,138.23851,3.881429943,100.4878946,6.502672502,0.332570448,10,3646.189183,20.91008741,7.746491013,135.6522991,3.053553177,3.053553177
44,118.0449638,3.530192074,65.0331814,6.297883472,0.103214942,10,3935.675326,8.023116864,6.287592137,117.7996603,9.190429791,9.190429791
45,130.7955947,2.045979824,107.1772765,6.701491614,0.246098576,10,3524.451666,27.77240759,4.822594733,123.167864,3.241116719,3.241116719
46,106.6779516,4.268770526,86.02956438,5.992574261,0.123612517,10,3621.624125,14.25981506,7.258930764,106.304037,3.719346028,3.719346028
47,101.6413529,7.448684809,119.0691154,6.582238866,0.222547327,10,3696.870784,24.56173275,16.23480793,91.28532083,0.846309198,0.846309198
48,132.3756635,6.769307539,54.26075848,6.18418508,0.442132142,10,3873.463671,5.481085,12.44716266,131.8710903,7.487074968,7.487074968
49,142.5722064,5.409619059,72.02170584,6.619175036,0.283764114,10,3693.876021,22.3891025,11.08997168,127.0574086,1.890232329,1.890232329
